Secteur;Secteur_meteo;Secteur_cerco
Adiasso1;ADIASSO;Adiasso1
Adiasso2;ADIASSO;Adiasso2
Adonkoi;NIEKYNORD;Adonkoi
Bandama;SPADI;SPADI
BBSA;BBSA;BBSA
BRB1;BRIMBO;BRIMBO
BRB2;BRIMBO;BRIMBO
BRB3;BRIMBO;BRIMBO
Brimbo;BRIMBO;BRIMBO
Broukro;BROUKRO;Broukro
Comoé1;COMOE;Comoé 1
Comoé2;COMOE;Comoé 2
Comoé3;COMOE;Comoé 3
Comoé4;COMOE;Comoé 4
Comoé5;COMOE;Comoé 5
Kosseu1;KOSSEU;Kosseu 1
Kosseu2;KOSSEU;Kosseu 2
Kosseu5;KOSSEU;Kosseu 2
SPADI;SPADI;SPADI
TIA1;TIASSALE;TIASSALE
TIA2;TIASSALE;TIASSALE
TIA3;TIASSALE;TIASSALE
TIA4;TIASSALE;TIASSALE
TIA5;TIASSALE;TIASSALE
Tiassalé;TIASSALE;TIASSALE
